index,GUID,Name,HallOfFameStatus,HallofFameClass,YearDrafted,TO_YEAR,Years_Played,HOF_Elgibility_Year,Pick,Team,College,GP,MIN,PTS,FGM,FGA,FG%,3P_Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,idPlayer,numberRound,BIRTHDATE,POSITION,AGE_ROOKIE_SEASON,Draft_Decade,numBallotsBeforeInduct,ML_Prediction,ConfusionMatrix
281,CALBOWDLER1999,Cal Bowdler,Not Inducted,,1999,2001,3,2006,17,ATL,Old Dominion University,46,9.2,2.7,1.1,2.5,42.6,0,0,0,0.5,0.8,63.2,0.5,1.4,1.8,0.3,0.3,0.2,0.5,3.1,1898,1,1977-03-31 00:00:00,Forward,22.54,1990s,,0,True Negative
282,JAMESPOSEY1999,James Posey,Not Inducted,,1999,2010,12,2015,18,DEN,Xavier University,81,25.3,8.2,2.8,6.6,42.9,1,2.7,37.3,1.5,1.9,80,1,2.9,3.9,1.8,1.2,0.4,1.2,10.2,1899,1,1977-01-13 00:00:00,Forward,22.75,1990s,,0,True Negative
283,QUINCYLEWIS1999,Quincy Lewis,Not Inducted,,1999,2003,5,2008,19,UTA,University of Minnesota,74,12.1,3.8,1.5,4,37.2,0.3,0.9,36.5,0.5,0.7,73.1,0.6,0.9,1.5,0.5,0.3,0.2,0.6,3.1,1900,1,1977-06-26 00:00:00,Guard,22.3,1990s,,0,True Negative
284,KENNYTHOMAS1999,Kenny Thomas,Not Inducted,,1999,2009,11,2014,22,HOU,University of New Mexico,72,25,8.3,2.9,7.4,39.9,0.4,1.7,26.2,1.9,2.9,66,2,4,6.1,1.6,0.8,0.3,1.6,10,1903,1,1977-07-25 00:00:00,Center,22.22,1990s,,0,True Negative
962,ADRIANGRIFFIN1999,Adrian Griffin,Not Inducted,,1999,2007,9,2012,200,,,72,26.8,6.7,2.4,5.7,42.4,0.2,0.8,28.1,1.7,2.2,75.3,1.8,3.4,5.2,2.5,1.6,0.2,1.3,11,,10,,,,,,0,True Negative
285,DEVEANGEORGE1999,Devean George,Not Inducted,,1999,2009,11,2014,23,LAL,Augsburg College,49,7,3.2,1.1,2.9,38.9,0.3,1,34,0.6,0.8,65.9,0.6,0.9,1.5,0.2,0.2,0.1,0.4,2.7,1904,1,1977-08-29 00:00:00,Forward,22.13,1990s,,0,True Negative
286,VONTEEGOCUMMINGS1999,Vonteego Cummings,Not Inducted,,1999,2002,4,2007,26,IND,University of Pittsburgh,75,23.9,9.4,3.5,8.7,40.5,0.7,2,32.5,1.7,2.3,75.1,0.8,1.7,2.5,3.3,1.2,0.2,1.8,9,1907,1,1976-02-29 00:00:00,"",23.63,1990s,,0,True Negative
287,SCOTTPADGETT1999,Scott Padgett,Not Inducted,,1999,2006,8,2011,28,UTA,University of Kentucky,47,9.2,2.6,0.9,3,31.4,0.3,0.9,29.5,0.4,0.6,70.4,0.5,1.4,1.9,0.5,0.3,0.2,0.5,2.7,1909,1,1976-04-19 00:00:00,Forward,23.49,1990s,,0,True Negative
288,MICHAELRUFFIN1999,Michael Ruffin,Not Inducted,,1999,2008,10,2013,32,CHI,University of Tulsa,71,13.7,2.2,0.8,1.9,42,0,0,0,0.6,1.2,48.9,1.6,1.9,3.5,0.6,0.4,0.4,0.8,4.5,1913,2,1977-01-21 00:00:00,Forward,22.73,1990s,,0,True Negative
289,CHRISHERREN1999,Chris Herren,Not Inducted,,1999,2000,2,2005,33,DEN,"California State University, Fresno",45,13.3,3.1,1,2.8,36.3,0.5,1.5,35.8,0.6,0.9,67.5,0.3,0.9,1.2,2.5,0.3,0,0.9,4.2,1914,2,1975-09-27 00:00:00,Guard,24.05,1990s,,0,True Negative
290,OBINNAEKEZIE1999,Obinna Ekezie,Not Inducted,,1999,2004,6,2009,37,VAN,University of Maryland,39,9,3.2,1.1,2.3,46.6,0,0,0,1.1,1.6,67.2,0.9,1.5,2.4,0.2,0.2,0.1,0.7,3.7,1918,2,1975-08-22 00:00:00,Center,24.15,1990s,,0,True Negative
291,TODDMACCULLOCH1999,Todd MacCulloch,Not Inducted,,1999,2003,5,2008,47,PHI,University of Washington,56,9.4,3.7,1.6,2.9,55.3,0,0,0,0.5,1,51.9,0.9,1.8,2.6,0.2,0.2,0.7,0.5,5.2,1928,2,1976-01-27 00:00:00,Center,23.72,1990s,,0,True Negative
292,LARIKETNER1999,Lari Ketner,Not Inducted,,1999,2000,2,2005,49,CHI,University of Massachusetts Amherst,22,6,1.5,0.6,1.5,40.6,0,0,0,0.4,0.5,66.7,0.5,1,1.5,0,0.2,0.1,0.5,2,1930,2,1977-02-01 00:00:00,Forward,22.7,1990s,,0,True Negative
293,MICHAELOLOWOKANDI1998,Michael Olowokandi,Not Inducted,,1998,2006,9,2011,1,LAC,University of the Pacific,45,28.4,8.9,3.8,8.9,43.1,0,0,0,1.3,2.6,48.3,2.7,5.3,7.9,0.6,0.6,1.2,1.9,10.9,1709,1,1975-04-03 00:00:00,Center,23.54,1990s,,0,True Negative
294,MIKEBIBBY1998,Mike Bibby,Not Inducted,,1998,2011,14,2016,2,VAN,University of Arizona,50,35.2,13.2,5.2,12.1,43,0.3,1.5,20.3,2.5,3.4,75.1,0.6,2.1,2.7,6.5,1.6,0.1,2.9,13.5,1710,1,1978-05-13 00:00:00,Guard,20.42,1990s,,1,False Positive
295,ANTAWNJAMISON1998,Antawn Jamison,Not Inducted,,1998,2013,16,2018,4,TOR,University of North Carolina,47,22.5,9.6,3.8,8.4,45.2,0.1,0.2,30,1.9,3.3,58.8,2.8,3.6,6.4,0.7,0.8,0.3,1.4,10.4,1712,1,1976-06-12 00:00:00,Forward,22.34,1990s,,0,True Negative
296,ROBERTTRAYLOR1998,Robert Traylor,Not Inducted,,1998,2004,7,2009,6,DAL,University of Michigan,49,16,5.3,2.2,4.1,53.7,0,0,0,0.9,1.6,53.8,1.6,2.1,3.7,0.8,0.9,0.9,0.9,8.1,1714,1,1977-02-01 00:00:00,Forward,21.7,1990s,,0,True Negative
297,JASONWILLIAMS1998,Jason Williams,Not Inducted,,1998,2010,13,2015,7,SAC,University of Florida,50,36.1,12.8,4.6,12.3,37.4,2,6.5,31,1.6,2.1,75.2,0.3,2.8,3.1,6,1.9,0,2.9,12.7,1715,1,1975-11-18 00:00:00,Guard,22.91,1990s,,0,True Negative
298,LARRYHUGHES1998,Larry Hughes,Not Inducted,,1998,2011,14,2016,8,PHI,Saint Louis University,50,19.8,9.1,3.4,8.3,41.1,0.2,1,15.4,2.1,3,70.9,1.7,2.1,3.8,1.5,0.9,0.3,1.4,8.5,1716,1,1979-01-23 00:00:00,Guard,19.73,1990s,,0,True Negative
299,DARIUSSONGAILA2003,Darius Songaila,Not Inducted,,2003,2010,8,2015,200,,,73,13.4,4.6,1.8,3.7,48.7,0,0,0,1,1.2,80.7,1.2,1.8,3.1,0.7,0.6,0.2,0.6,6.4,,10,,,,,,0,True Negative
300,MICHAELDOLEAC1998,Michael Doleac,Not Inducted,,1998,2007,10,2012,12,ORL,University of Utah,49,15.9,6.2,2.6,5.4,46.8,0,0,0,1.1,1.6,67.5,1.3,1.7,3,0.4,0.4,0.3,0.5,6.4,1720,1,1977-06-15 00:00:00,Center,21.33,1990s,,0,True Negative
301,KEONCLARK1998,Keon Clark,Not Inducted,,1998,2003,6,2008,13,ORL,"University of Nevada, Las Vegas",28,14.6,3.3,1.3,2.9,45,0,0,0,0.8,1.3,56.8,1.3,2.1,3.4,0.4,0.4,1.1,0.8,5.7,1721,1,1975-04-16 00:00:00,Center,23.5,1990s,,0,True Negative
302,MICHAELDICKERSON1998,Michael Dickerson,Not Inducted,,1998,2002,5,2007,14,HOU,University of Arizona,50,31.2,10.9,4.3,9.2,46.5,1.4,3.3,43.3,0.9,1.4,63.9,0.5,1.1,1.7,1.9,0.5,0.2,1.3,8.5,1722,1,1975-06-25 00:00:00,Guard,23.31,1990s,,0,True Negative
303,MATTHARPRING1998,Matt Harpring,Not Inducted,,1998,2008,11,2013,15,ORL,Georgia Institute of Technology,50,22.3,8.2,3,6.4,46.3,0.2,0.5,40,2,2.9,71.3,1.8,2.5,4.3,0.9,0.6,0.1,1.5,8.3,1723,1,1976-05-31 00:00:00,Forward,22.37,1990s,,0,True Negative
304,BRYCEDREW1998,Bryce Drew,Not Inducted,,1998,2003,6,2008,16,HOU,Valparaiso University,34,13,3.5,1.4,3.8,36.4,0.5,1.4,32.7,0.2,0.2,100,0.1,0.9,0.9,1.5,0.3,0.1,0.9,3.1,1724,1,1974-09-21 00:00:00,Guard,24.07,1990s,,0,True Negative
305,PATGARRITY1998,Pat Garrity,Not Inducted,,1998,2007,10,2012,19,MIL,University of Notre Dame,39,13.8,5.6,2.2,4.4,50,0.2,0.5,38.9,1,1.4,71.4,0.7,1.3,1.9,0.5,0.2,0.1,0.5,5.1,1727,1,1976-08-23 00:00:00,Forward,22.14,1990s,,0,True Negative
306,ROSHOWNMCLEOD1998,Roshown McLeod,Not Inducted,,1998,2000,3,2005,20,ATL,Duke University,34,10.2,4.8,1.8,4.8,38,0,0.3,10,1.1,1.3,82.2,0.4,1.1,1.5,0.4,0.1,0,0.7,2.9,1728,1,1975-11-17 00:00:00,Forward,22.91,1990s,,0,True Negative
307,RICKYDAVIS1998,Ricky Davis,Not Inducted,,1998,2009,12,2014,21,CHH,University of Iowa,46,12.1,4.5,1.8,4.3,40.5,0,0.3,16.7,1,1.3,76.3,0.9,1,1.8,1.3,0.7,0.1,1.2,4.4,1729,1,1979-09-23 00:00:00,Guard,19.06,1990s,,0,True Negative
308,FELIPELOPEZ1998,Felipe Lopez,Not Inducted,,1998,2002,5,2007,24,SAS,St. John's University,47,25.9,9.3,3.6,8.1,44.6,0.3,0.9,27.3,1.9,2.9,64.4,1.5,2.1,3.5,1.3,1,0.3,1.7,8.3,1732,1,1974-12-19 00:00:00,Guard,23.82,1990s,,0,True Negative
309,CHRISQUINN2006,Chris Quinn,Not Inducted,,2006,2012,7,2017,200,,,42,9.7,3.4,1.1,3.1,36.6,0.5,1.4,35.1,0.6,0.9,67.6,0.1,0.6,0.7,1.5,0.4,0,0.5,3.2,,10,,,,,,0,True Negative
310,VLADIMIRSTEPANIA1998,Vladimir Stepania,Not Inducted,,1998,2003,6,2008,27,SEA,,23,13.6,5.5,2.3,5.4,42.4,0,0.1,0,0.9,1.7,52.5,1.2,2.1,3.3,0.5,0.4,1,1.4,5.4,1735,1,1976-05-08 00:00:00,Center,22.44,1990s,,0,True Negative
311,COREYBENJAMIN1998,Corey Benjamin,Not Inducted,,1998,2002,5,2007,28,CHI,Oregon State University,31,10.3,3.8,1.4,3.8,37.6,0.1,0.5,21.4,0.9,1.3,67.5,0.5,0.8,1.3,0.3,0.3,0.3,0.7,2.6,1736,1,1978-02-24 00:00:00,Guard,20.64,1990s,,0,True Negative
312,NAZRMOHAMMED1998,Nazr Mohammed,Not Inducted,,1998,2015,18,2020,29,UTA,University of Kentucky,26,4.7,1.6,0.6,1.6,35.7,0,0,0,0.5,0.8,57.1,0.7,0.7,1.4,0.1,0.2,0.1,0.5,1.6,1737,1,1977-09-05 00:00:00,Center,21.11,1990s,,0,True Negative
313,RUBENPATTERSON1998,Ruben Patterson,Not Inducted,,1998,2007,10,2012,31,LAL,University of Cincinnati,24,6,2.7,0.9,2.1,41.2,0,0.3,16.7,0.9,1.3,71,0.7,0.5,1.3,0.1,0.2,0.1,0.5,2.3,1739,2,1975-07-31 00:00:00,Forward,23.21,1990s,,0,True Negative
314,JELANIMCCOY1998,Jelani McCoy,Not Inducted,,1998,2007,10,2012,33,SEA,"University of California, Los Angeles",26,12.7,5.1,2.2,2.9,73.7,0,0,0,0.8,1.6,50,1,2,3,0.2,0.4,0.8,0.4,7.5,1741,2,1977-12-06 00:00:00,Forward,20.86,1990s,,0,True Negative
315,CUTTINOMOBLEY1998,Cuttino Mobley,Not Inducted,,1998,2008,11,2013,41,HOU,University of Rhode Island,49,29.7,9.9,3.5,8.3,42.5,1.1,3,35.8,1.8,2.2,81.8,0.4,1.8,2.3,2.5,0.9,0.5,1.6,9.3,1749,2,1975-09-01 00:00:00,Guard,23.12,1990s,,0,True Negative
316,TOBYBAILEY1998,Toby Bailey,Not Inducted,,1998,2002,5,2007,45,LAL,"University of California, Los Angeles",27,9.2,2.9,1.3,3.2,39.5,0,0.2,20,0.3,0.5,69.2,0.9,1.1,2,0.5,0.3,0.1,0.4,3.3,1753,2,1975-11-19 00:00:00,Guard,22.91,1990s,,0,True Negative
317,ANDRAEPATTERSON1998,Andrae Patterson,Not Inducted,,1998,1999,2,2004,46,MIN,Indiana University,35,8.1,3.3,1.2,2.8,44.3,0,0.1,0,0.8,1,77.8,0.9,1,1.9,0.4,0.5,0.2,0.6,3.9,1754,2,1975-11-12 00:00:00,Forward,22.92,1990s,,0,True Negative
425,CLARWEATHERSPOON1992,Clar. Weatherspoon,Not Inducted,,1992,2004,13,2009,200,,,82,32.4,15.6,6,12.8,46.9,0,0,25,3.5,5,71.3,2.2,5,7.2,1.8,1,0.8,2.1,16,221,1,1970-09-08 00:00:00,Forward,22.1,1990s,,0,True Negative
318,CORYCARR1998,Cory Carr,Not Inducted,,1998,1998,1,2003,49,ATL,Texas Tech University,42,14.9,4.1,1.7,5.1,32.9,0.1,0.7,16.7,0.6,0.8,75,0.2,1,1.2,1.6,0.5,0.2,1.1,2.7,1757,2,1975-12-05 00:00:00,Guard,22.86,1990s,,0,True Negative
319,JRHENDERSON1998,J.R. Henderson,Not Inducted,,1998,1998,1,2003,56,VAN,"University of California, Los Angeles",30,11,3.2,1.2,3.2,36.5,0.1,0.2,40,0.8,1.5,55.6,0.7,0.9,1.6,0.7,0.3,0.1,0.6,2.7,1764,2,1976-10-30 00:00:00,Forward,21.96,1990s,,0,True Negative
320,TONYBROWN1984,Tony Brown,Not Inducted,,1984,1991,8,1996,200,,,82,19.3,6.6,2.6,5.7,46,0,0.1,0,1.4,2.1,67.8,1.8,1.7,3.5,1.9,0.7,0.1,1.4,7.8,,10,,,,,,0,True Negative
321,KEITHVANHORN1997,Keith Van Horn,Not Inducted,,1997,2005,9,2010,2,PHI,University of Utah,62,37.5,19.7,7.2,16.9,42.6,1.1,3.6,30.8,4.2,4.9,84.6,2.3,4.3,6.6,1.7,1,0.4,2.6,16.3,1496,1,1975-10-23 00:00:00,Forward,21.98,1990s,,1,False Positive
322,CHAUNCEYBILLUPS1997,Chauncey Billups,Not Inducted,,1997,2013,17,2018,3,BOS,University of Colorado,80,27.7,11.2,3.5,9.4,37.4,1.3,4.1,32.9,2.8,3.3,85,0.8,1.6,2.4,3.9,1.3,0.1,2.2,10.3,1497,1,1976-09-25 00:00:00,Guard,21.05,1990s,,1,False Positive
323,ANTONIODANIELS1997,Antonio Daniels,Not Inducted,,1997,2010,14,2015,4,VAN,Bowling Green State University,74,26.4,7.8,3.1,7.4,41.6,0.1,0.7,21.2,1.5,2.3,65.9,0.3,1.6,1.9,4.5,0.7,0.1,2.2,7.8,1498,1,1975-03-19 00:00:00,Guard,22.58,1990s,,0,True Negative
324,TONYBATTIE1997,Tony Battie,Not Inducted,,1997,2011,15,2016,5,DEN,Texas Tech University,65,23.2,8.4,3.6,8.1,44.6,0,0.2,21.4,1.1,1.6,70.2,2.1,3.3,5.4,0.9,0.8,1.1,1.5,10.1,1499,1,1976-02-11 00:00:00,Center,21.68,1990s,,0,True Negative
325,RONMERCER1997,Ron Mercer,Not Inducted,,1997,2004,8,2009,6,BOS,University of Kentucky,80,33.3,15.3,6.4,14.3,45,0,0.4,10.7,2.4,2.8,83.9,1.4,2.1,3.5,2.2,1.6,0.2,1.6,12.8,1500,1,1976-05-18 00:00:00,Guard,21.41,1990s,,0,True Negative
326,TIMTHOMAS1997,Tim Thomas,Not Inducted,,1997,2009,13,2014,7,NJN,Villanova University,77,23.1,11,4,8.9,44.7,0.8,2.2,36.3,2.2,3,74,1.4,2.4,3.7,1.2,0.7,0.2,1.5,9.6,1501,1,1977-02-26 00:00:00,Forward,20.63,1990s,,0,True Negative
327,ADONALFOYLE1997,Adonal Foyle,Not Inducted,,1997,2009,13,2014,8,GSW,Colgate University,55,11.9,3,1.3,3.1,40.6,0,0,0,0.5,1.1,43.5,1.3,2,3.3,0.3,0.2,0.9,0.9,4.4,1502,1,1975-03-09 00:00:00,Center,22.6,1990s,,0,True Negative
328,TOUREMURRY2013,Toure' Murry,Not Inducted,,2013,2014,2,2019,200,,,51,7.3,2.7,1.1,2.5,43.4,0.1,0.2,41.7,0.5,0.8,59,0.3,0.6,0.9,1,0.4,0,0.7,2.5,,10,,,,,,0,True Negative
329,TIERREBROWN2001,Tierre Brown,Not Inducted,,2001,2004,4,2009,200,,,40,10.1,3.1,1.2,2.9,42.6,0.1,0.3,33.3,0.5,0.7,75,0.3,0.8,1.1,1.8,0.5,0.1,1,3.6,,10,,,,,,0,True Negative
330,DANNYFORTSON1997,Danny Fortson,Not Inducted,,1997,2006,10,2011,10,MIL,University of Cincinnati,80,22.6,10.2,3.5,7.6,45.2,0,0,33.3,3.3,4.2,77.6,2.3,3.3,5.6,1,0.6,0.4,2,10.6,1504,1,1976-03-27 00:00:00,Center,21.55,1990s,,1,False Positive
331,TARIQABDULWAHAD1997,Tariq Abdul-Wahad,Not Inducted,,1997,2003,7,2008,11,SAC,San Jose State University,59,16.3,6.4,2.4,6.1,40.3,0.1,0.3,21.1,1.4,2.1,67.2,0.7,1.2,2,0.9,0.6,0.2,1.1,4.6,1505,1,1974-11-03 00:00:00,Forward,22.95,1990s,,0,True Negative
332,DEREKANDERSON1997,Derek Anderson,Not Inducted,,1997,2007,11,2012,13,CLE,University of Kentucky,66,27.9,11.7,3.6,8.9,40.8,0.3,1.3,20.2,4.2,4.8,87.3,0.8,2,2.8,3.4,1.3,0.2,1.9,11.6,1507,1,1974-07-18 00:00:00,Guard,23.24,1990s,,1,False Positive
333,MAURICETAYLOR1997,Maurice Taylor,Not Inducted,,1997,2006,10,2011,14,LAC,University of Michigan,71,21.3,11.5,4.5,9.5,47.6,0,0,0,2.4,3.4,70.9,1.7,2.5,4.2,0.7,0.5,0.6,1.5,9.9,1508,1,1976-10-30 00:00:00,Forward,20.96,1990s,,0,True Negative
334,KELVINCATO1997,Kelvin Cato,Not Inducted,,1997,2006,10,2011,15,DAL,Iowa State University,74,13.6,3.8,1.3,3.1,42.8,0,0,0,1.2,1.7,68.8,1.2,2.2,3.4,0.3,0.4,1.3,0.6,6.3,1509,1,1974-08-26 00:00:00,Center,23.14,1990s,,0,True Negative
335,BREVINKNIGHT1997,Brevin Knight,Not Inducted,,1997,2008,12,2013,16,CLE,Stanford University,80,31,9,3.3,7.4,44.1,0,0.1,0,2.5,3.1,80.1,0.8,2.3,3.2,8.2,2.5,0.2,2.4,15.9,1510,1,1975-11-08 00:00:00,Guard,21.94,1990s,,1,False Positive
336,CHRISANSTEY1997,Chris Anstey,Not Inducted,,1997,1999,3,2004,18,POR,,41,16.6,5.9,2.2,5.6,39.8,0.1,0.4,18.8,1.3,1.8,71.6,1.3,2.5,3.8,0.9,0.8,0.7,1,7,1512,1,1975-01-01 00:00:00,Center,22.79,1990s,,0,True Negative
337,ANTHONYPARKER1997,Anthony Parker,Not Inducted,,1997,2011,15,2016,21,NJN,Bradley University,37,5.3,1.9,0.7,1.7,39.7,0.2,0.8,32.1,0.4,0.5,65,0.2,0.5,0.7,0.5,0.3,0.1,0.3,2,1515,1,1975-06-19 00:00:00,Guard,22.32,1990s,,0,True Negative
338,BOBBYJACKSON1997,Bobby Jackson,Not Inducted,,1997,2008,12,2013,23,SEA,University of Minnesota,68,30,11.6,4.6,11.6,39.2,0.3,1.2,25.9,2.2,2.7,81.4,1.1,3.3,4.4,4.7,1.5,0.2,2.7,12.1,1517,1,1973-03-13 00:00:00,Guard,24.59,1990s,,0,True Negative
339,RODRICKRHODES1997,Rodrick Rhodes,Not Inducted,,1997,1999,3,2004,24,HOU,University of Southern California,58,18.4,5.8,1.9,5.3,36.7,0,0.1,25,1.9,3.1,61.7,0.5,0.7,1.2,1.9,1.1,0.2,1.7,4,1518,1,1973-09-24 00:00:00,Guard,24.06,1990s,,0,True Negative
340,JOHNTHOMAS1997,John Thomas,Not Inducted,,1997,2005,9,2010,25,NYK,University of Minnesota,54,9.9,2.8,1,2.1,48.7,0,0,0,0.8,1,75.9,0.9,1.1,2,0.3,0.4,0.2,0.8,3.5,1519,1,1975-09-08 00:00:00,Center,22.1,1990s,,0,True Negative
341,CHARLESSMITH1997,Charles Smith,Not Inducted,,1997,2005,9,2010,26,MIA,University of New Mexico,34,8.6,3.5,1.4,3.7,39.2,0.4,1.4,31.9,0.2,0.3,54.5,0.4,0.4,0.8,0.6,0.3,0.2,0.8,2.3,1520,1,1975-08-22 00:00:00,Guard,22.15,1990s,,0,True Negative
342,JACQUEVAUGHN1997,Jacque Vaughn,Not Inducted,,1997,2008,12,2013,27,UTA,University of Kansas,45,9.3,3.1,1,2.7,36.1,0.1,0.2,37.5,1.1,1.5,70.6,0.1,0.8,0.8,1.9,0.2,0,1.2,2.6,1521,1,1975-02-11 00:00:00,Guard,22.68,1990s,,0,True Negative
343,BUBBAWELLS1997,Bubba Wells,Not Inducted,,1997,1997,1,2002,34,DAL,Austin Peay State University,39,10.1,3.3,1.2,3,41.4,0,0.2,16.7,0.8,1.1,72.1,0.6,1.2,1.7,0.9,0.4,0.1,0.8,3.5,1528,2,1974-07-26 00:00:00,Forward,23.22,1990s,,0,True Negative
344,JERALDHONEYCUTT1997,Jerald Honeycutt,Not Inducted,,1997,1998,2,2003,38,MIL,Tulane University,38,13.9,6.4,2.4,5.8,40.7,0.8,2,37.7,0.9,1.5,62.1,0.7,1.7,2.4,0.9,0.5,0.2,1.3,5.1,1532,2,1974-10-20 00:00:00,Forward,22.99,1990s,,0,True Negative
345,ANTHONYJOHNSON1997,Anthony Johnson,Not Inducted,,1997,2009,13,2014,39,SAC,College of Charleston,77,29.4,7.5,2.9,7.9,37.1,0.5,1.7,32.8,1,1.4,72.7,0.7,1.6,2.2,4.3,0.8,0.1,1.6,7.9,1533,2,1974-10-02 00:00:00,Guard,23.04,1990s,,0,True Negative
346,CEDRICHENDERSON1997,Cedric Henderson,Not Inducted,,1997,2002,6,2007,44,CLE,University of Memphis,82,30.8,10.1,4.2,8.8,48,0,0,0,1.7,2.3,71.6,0.9,3.1,4,2,1.2,0.6,2,10.6,1538,2,1975-03-11 00:00:00,Forward,22.6,1990s,,0,True Negative
347,ERICWASHINGTON1997,Eric Washington,Not Inducted,,1997,1998,2,2003,46,ORL,University of Alabama,66,23.3,7.7,3,7.5,40.4,0.7,2.1,32.1,1,1.3,78.3,0.7,1.2,1.9,1.2,0.8,0.4,1.1,6.2,1540,2,1974-03-24 00:00:00,Forward,23.56,1990s,,0,True Negative
348,ALVINWILLIAMS1997,Alvin Williams,Not Inducted,,1997,2006,10,2011,47,POR,Villanova University,54,19.8,6,2.3,5.2,44.3,0.2,0.5,32.1,1.2,1.7,72.2,0.4,1.1,1.5,1.9,0.7,0.1,1.1,5.7,1541,2,1974-08-06 00:00:00,Guard,23.19,1990s,,0,True Negative
349,CHRISCRAWFORD1997,Chris Crawford,Not Inducted,,1997,2003,7,2008,50,ATL,Marquette University,40,6.4,3.8,1.2,2.8,41.8,0,0.1,33.3,1.4,1.7,83.8,0.5,0.5,1,0.2,0.3,0.2,0.5,3.2,1544,2,1975-05-13 00:00:00,Forward,22.43,1990s,,0,True Negative
350,PJBROWN1993,P.J. Brown,Not Inducted,,1993,2007,15,2012,200,,,79,24.7,5.7,2.1,5.1,41.5,0,0.1,16.7,1.5,1.9,75.7,2.4,3.9,6.2,1.2,0.9,1.2,0.9,10.8,,10,,,,,,0,True Negative
351,MARCUSCAMBY1996,Marcus Camby,Not Inducted,,1996,2012,17,2017,2,TOR,University of Massachusetts Amherst,63,30.1,14.8,6,12.3,48.2,0,0.2,14.3,2.9,4.2,69.3,2.1,4.2,6.3,1.5,1.1,2.1,2.1,15.9,948,1,1974-03-22 00:00:00,Center,22.57,1990s,,1,False Positive
352,SHAREEFABDURRAHIM1996,Shareef Abdur-Rahim,Not Inducted,,1996,2007,12,2012,3,VAN,University of California,80,35,18.7,6.9,15.2,45.3,0.1,0.3,25.9,4.8,6.5,74.6,2.7,4.2,6.9,2.2,1,1,2.8,17,949,1,1976-12-11 00:00:00,Forward,19.84,1990s,,1,False Positive
353,STEPHONMARBURY1996,Stephon Marbury,Not Inducted,,1996,2008,13,2013,4,MIL,Georgia Institute of Technology,67,34.7,15.8,5.3,13,40.8,1.5,4.3,35.4,3.7,5,72.7,0.8,1.9,2.7,7.8,1,0.3,3.1,15.4,950,1,1977-02-20 00:00:00,Guard,19.65,1990s,,1,False Positive
354,EARLCURETON1980,Earl Cureton,Not Inducted,,1980,1996,17,2001,200,,,52,10.2,4.2,1.8,3.9,45.4,0,0,0,0.6,1.2,51.6,1,2,3,0.5,0.4,0.4,0.6,5.2,,10,,,,,,0,True Negative
355,ANTOINEWALKER1996,Antoine Walker,Not Inducted,,1996,2007,12,2012,6,BOS,University of Kentucky,82,36.2,17.5,7,16.5,42.5,0.6,1.9,32.7,2.8,4.5,63.1,3.5,5.5,9,3.2,1.3,0.7,2.8,17.7,952,1,1976-08-12 00:00:00,Forward,20.18,1990s,,0,True Negative
356,LORENZENWRIGHT1996,Lorenzen Wright,Not Inducted,,1996,2008,13,2013,7,LAC,University of Memphis,77,25.1,7.3,3.1,6.4,48.1,0,0.1,25,1.1,1.9,58.7,2.7,3.4,6.1,0.6,0.6,0.8,1,10.3,953,1,1975-11-04 00:00:00,Forward,20.95,1990s,,0,True Negative
357,KERRYKITTLES1996,Kerry Kittles,Not Inducted,,1996,2004,9,2009,8,NJN,Villanova University,82,36.7,16.4,6.2,14.5,42.6,1.9,5.1,37.7,2.1,2.8,77.1,1.3,2.6,3.9,3,1.9,0.4,1.6,15.2,954,1,1974-06-12 00:00:00,Guard,22.34,1990s,,1,False Positive
358,SAMAKIWALKER1996,Samaki Walker,Not Inducted,,1996,2005,10,2010,9,DAL,University of Louisville,43,14,5,1.9,4.3,44.4,0,0,0,1.1,1.7,64.9,1.1,2.3,3.4,0.4,0.3,0.5,0.9,5.7,955,1,1976-02-25 00:00:00,Forward,20.64,1990s,,0,True Negative
359,ERICKDAMPIER1996,Erick Dampier,Not Inducted,,1996,2011,16,2016,10,IND,Mississippi State University,72,14.6,5.1,1.8,4.7,39,0,0,100,1.5,2.3,63.7,1.3,2.8,4.1,0.6,0.3,1,1.2,6.2,956,1,1975-07-14 00:00:00,Center,21.26,1990s,,1,False Positive
360,TODDFULLER1996,Todd Fuller,Not Inducted,,1996,2000,5,2005,11,GSW,North Carolina State University,75,12.7,4.1,1.5,3.5,42.9,0,0,0,1,1.5,69.1,1.4,1.9,3.3,0.3,0.1,0.3,0.7,4.9,957,1,1974-07-25 00:00:00,Center,22.23,1990s,,0,True Negative
361,VITALYPOTAPENKO1996,Vitaly Potapenko,Not Inducted,,1996,2006,11,2011,12,CLE,Wright State University,80,15.5,5.8,2.3,5.3,44,0,0,50,1.2,1.6,73.6,1.3,1.4,2.7,0.5,0.3,0.4,1.4,5,958,1,1975-03-21 00:00:00,Center,21.57,1990s,,0,True Negative
362,OSCARTORRES2001,Oscar Torres,Not Inducted,,2001,2002,2,2007,200,,,65,16.6,6,2.1,5.2,39.6,0.6,1.9,29.4,1.3,1.6,78.1,0.7,1.2,1.9,0.6,0.4,0.1,0.8,4.7,,10,,,,,,0,True Negative
